#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.106553E-01   0.151954E+08   0.151847E+08  -0.325737E+04  -0.325738E+04   0.948783E+07   0.151698E+08   0.151937E+08   0.151698E+08  -0.361972E+00   0.800082E+07   0.800072E+07   0.303043E+01
   0.110164E-01   0.150402E+08   0.150288E+08  -0.301644E+04  -0.301645E+04   0.924572E+07   0.150141E+08   0.150384E+08   0.150141E+08  -0.358257E+00   0.791882E+07   0.791872E+07   0.309471E+01
   0.113898E-01   0.148812E+08   0.148691E+08  -0.279233E+04  -0.279234E+04   0.900241E+07   0.148546E+08   0.148793E+08   0.148546E+08  -0.354452E+00   0.783483E+07   0.783472E+07   0.315915E+01
   0.117759E-01   0.147183E+08   0.147055E+08  -0.258390E+04  -0.258391E+04   0.875928E+07   0.146913E+08   0.147163E+08   0.146913E+08  -0.350555E+00   0.774881E+07   0.774870E+07   0.322362E+01
   0.121750E-01   0.145516E+08   0.145381E+08  -0.239010E+04  -0.239011E+04   0.851610E+07   0.145242E+08   0.145495E+08   0.145242E+08  -0.346566E+00   0.766076E+07   0.766064E+07   0.328795E+01
   0.125877E-01   0.143810E+08   0.143666E+08  -0.220995E+04  -0.220996E+04   0.827316E+07   0.143531E+08   0.143787E+08   0.143531E+08  -0.342484E+00   0.757065E+07   0.757052E+07   0.335197E+01
   0.130144E-01   0.142064E+08   0.141912E+08  -0.204252E+04  -0.204253E+04   0.803061E+07   0.141781E+08   0.142040E+08   0.141781E+08  -0.338308E+00   0.747846E+07   0.747832E+07   0.341551E+01
   0.134555E-01   0.140278E+08   0.140118E+08  -0.188696E+04  -0.188697E+04   0.778848E+07   0.139991E+08   0.140253E+08   0.139991E+08  -0.334038E+00   0.738417E+07   0.738403E+07   0.347833E+01
   0.139116E-01   0.138452E+08   0.138283E+08  -0.174247E+04  -0.174247E+04   0.754676E+07   0.138161E+08   0.138425E+08   0.138161E+08  -0.329672E+00   0.728777E+07   0.728762E+07   0.354023E+01
   0.143831E-01   0.136586E+08   0.136407E+08  -0.160828E+04  -0.160829E+04   0.730551E+07   0.136291E+08   0.136558E+08   0.136291E+08  -0.325209E+00   0.718925E+07   0.718909E+07   0.360095E+01
   0.148706E-01   0.134679E+08   0.134491E+08  -0.148371E+04  -0.148371E+04   0.706504E+07   0.134381E+08   0.134649E+08   0.134381E+08  -0.320651E+00   0.708860E+07   0.708843E+07   0.366021E+01
   0.153746E-01   0.132732E+08   0.132533E+08  -0.136809E+04  -0.136810E+04   0.682587E+07   0.132430E+08   0.132700E+08   0.132430E+08  -0.315996E+00   0.698581E+07   0.698564E+07   0.371772E+01
   0.158958E-01   0.130744E+08   0.130535E+08  -0.126082E+04  -0.126083E+04   0.658848E+07   0.130439E+08   0.130711E+08   0.130439E+08  -0.311245E+00   0.688089E+07   0.688071E+07   0.377315E+01
   0.164346E-01   0.128715E+08   0.128496E+08  -0.116133E+04  -0.116133E+04   0.635316E+07   0.128407E+08   0.128681E+08   0.128407E+08  -0.306397E+00   0.677384E+07   0.677365E+07   0.382617E+01
   0.169916E-01   0.126646E+08   0.126416E+08  -0.106908E+04  -0.106909E+04   0.612000E+07   0.126336E+08   0.126610E+08   0.126336E+08  -0.301454E+00   0.666467E+07   0.666447E+07   0.387640E+01
   0.175675E-01   0.124538E+08   0.124295E+08  -0.983586E+03  -0.983589E+03   0.588910E+07   0.124224E+08   0.124500E+08   0.124224E+08  -0.296416E+00   0.655340E+07   0.655319E+07   0.392344E+01
   0.181630E-01   0.122389E+08   0.122135E+08  -0.904376E+03  -0.904379E+03   0.566064E+07   0.122074E+08   0.122350E+08   0.122074E+08  -0.291284E+00   0.644006E+07   0.643984E+07   0.396686E+01
   0.187786E-01   0.120203E+08   0.119936E+08  -0.831021E+03  -0.831023E+03   0.543490E+07   0.119884E+08   0.120161E+08   0.119884E+08  -0.286061E+00   0.632468E+07   0.632446E+07   0.400622E+01
   0.194151E-01   0.117978E+08   0.117699E+08  -0.763117E+03  -0.763120E+03   0.521220E+07   0.117658E+08   0.117934E+08   0.117658E+08  -0.280747E+00   0.620732E+07   0.620708E+07   0.404104E+01
   0.200732E-01   0.115716E+08   0.115425E+08  -0.700290E+03  -0.700292E+03   0.499292E+07   0.115394E+08   0.115670E+08   0.115394E+08  -0.275347E+00   0.608802E+07   0.608778E+07   0.407082E+01
   0.207536E-01   0.113419E+08   0.113115E+08  -0.642189E+03  -0.642190E+03   0.477734E+07   0.113096E+08   0.113371E+08   0.113096E+08  -0.269862E+00   0.596686E+07   0.596661E+07   0.409503E+01
   0.214570E-01   0.111088E+08   0.110771E+08  -0.588487E+03  -0.588488E+03   0.456554E+07   0.110764E+08   0.111038E+08   0.110764E+08  -0.264297E+00   0.584393E+07   0.584367E+07   0.411314E+01
   0.221843E-01   0.108725E+08   0.108395E+08  -0.538879E+03  -0.538881E+03   0.435766E+07   0.108400E+08   0.108673E+08   0.108400E+08  -0.258657E+00   0.571933E+07   0.571905E+07   0.412458E+01
   0.229363E-01   0.106333E+08   0.105990E+08  -0.493082E+03  -0.493084E+03   0.415404E+07   0.106007E+08   0.106279E+08   0.106007E+08  -0.252947E+00   0.559317E+07   0.559288E+07   0.412879E+01
   0.237137E-01   0.103913E+08   0.103557E+08  -0.450831E+03  -0.450832E+03   0.395503E+07   0.103587E+08   0.103857E+08   0.103587E+08  -0.247173E+00   0.546559E+07   0.546529E+07   0.412518E+01
   0.245175E-01   0.101469E+08   0.101101E+08  -0.411878E+03  -0.411879E+03   0.376083E+07   0.101143E+08   0.101411E+08   0.101143E+08  -0.241342E+00   0.533675E+07   0.533645E+07   0.411318E+01
   0.253485E-01   0.990045E+07   0.986241E+07  -0.375994E+03  -0.375995E+03   0.357154E+07   0.986794E+07   0.989448E+07   0.986794E+07  -0.235462E+00   0.520683E+07   0.520652E+07   0.409221E+01
   0.262077E-01   0.965232E+07   0.961310E+07  -0.342963E+03  -0.342964E+03   0.338736E+07   0.961989E+07   0.964615E+07   0.961989E+07  -0.229543E+00   0.507604E+07   0.507572E+07   0.406173E+01
   0.270960E-01   0.940292E+07   0.936259E+07  -0.312585E+03  -0.312586E+03   0.320850E+07   0.937062E+07   0.939659E+07   0.937062E+07  -0.223596E+00   0.494460E+07   0.494427E+07   0.402119E+01
   0.280144E-01   0.915275E+07   0.911138E+07  -0.284672E+03  -0.284673E+03   0.303525E+07   0.912061E+07   0.914625E+07   0.912061E+07  -0.217630E+00   0.481276E+07   0.481243E+07   0.397011E+01
   0.289640E-01   0.890234E+07   0.886001E+07  -0.259051E+03  -0.259052E+03   0.286772E+07   0.887039E+07   0.889569E+07   0.887039E+07  -0.211659E+00   0.468081E+07   0.468047E+07   0.390806E+01
   0.299457E-01   0.865226E+07   0.860908E+07  -0.235559E+03  -0.235559E+03   0.270596E+07   0.862054E+07   0.864547E+07   0.862054E+07  -0.205698E+00   0.454905E+07   0.454871E+07   0.383464E+01
   0.309607E-01   0.840313E+07   0.835922E+07  -0.214042E+03  -0.214042E+03   0.255023E+07   0.837169E+07   0.839623E+07   0.837169E+07  -0.199760E+00   0.441781E+07   0.441746E+07   0.374959E+01
   0.320102E-01   0.815563E+07   0.811112E+07  -0.194358E+03  -0.194358E+03   0.240067E+07   0.812451E+07   0.814864E+07   0.812451E+07  -0.193862E+00   0.428745E+07   0.428710E+07   0.365270E+01
   0.330951E-01   0.791047E+07   0.786552E+07  -0.176374E+03  -0.176374E+03   0.225733E+07   0.787971E+07   0.790341E+07   0.787971E+07  -0.188021E+00   0.415834E+07   0.415798E+07   0.354391E+01
   0.342169E-01   0.766840E+07   0.762318E+07  -0.159965E+03  -0.159965E+03   0.212029E+07   0.763804E+07   0.766130E+07   0.763804E+07  -0.182254E+00   0.403087E+07   0.403052E+07   0.342329E+01
   0.353767E-01   0.743019E+07   0.738489E+07  -0.145013E+03  -0.145014E+03   0.198966E+07   0.740027E+07   0.742307E+07   0.740027E+07  -0.176580E+00   0.390545E+07   0.390510E+07   0.329107E+01
   0.365758E-01   0.719662E+07   0.715144E+07  -0.131409E+03  -0.131409E+03   0.186545E+07   0.716718E+07   0.718952E+07   0.716718E+07  -0.171019E+00   0.378250E+07   0.378216E+07   0.314766E+01
   0.378155E-01   0.696756E+07   0.692272E+07  -0.119032E+03  -0.119033E+03   0.174738E+07   0.693864E+07   0.696052E+07   0.693864E+07  -0.165565E+00   0.366195E+07   0.366161E+07   0.299376E+01
   0.390973E-01   0.674382E+07   0.669954E+07  -0.107790E+03  -0.107791E+03   0.163554E+07   0.671545E+07   0.673686E+07   0.671545E+07  -0.160240E+00   0.354422E+07   0.354389E+07   0.283020E+01
   0.404225E-01   0.652695E+07   0.648346E+07  -0.976058E+02  -0.976061E+02   0.153003E+07   0.649918E+07   0.652012E+07   0.649918E+07  -0.155079E+00   0.343013E+07   0.342981E+07   0.265794E+01
   0.417926E-01   0.631779E+07   0.627534E+07  -0.883941E+02  -0.883943E+02   0.143080E+07   0.629064E+07   0.631112E+07   0.629064E+07  -0.150103E+00   0.332012E+07   0.331981E+07   0.247825E+01
   0.432092E-01   0.611703E+07   0.607585E+07  -0.800743E+02  -0.800745E+02   0.133774E+07   0.609053E+07   0.611056E+07   0.609053E+07  -0.145328E+00   0.321455E+07   0.321425E+07   0.229268E+01
   0.446738E-01   0.592514E+07   0.588547E+07  -0.725684E+02  -0.725686E+02   0.125065E+07   0.589932E+07   0.591891E+07   0.589932E+07  -0.140766E+00   0.311368E+07   0.311339E+07   0.210300E+01
   0.461880E-01   0.574236E+07   0.570441E+07  -0.658018E+02  -0.658020E+02   0.116931E+07   0.571723E+07   0.573639E+07   0.571723E+07  -0.136421E+00   0.301761E+07   0.301735E+07   0.191124E+01
   0.477535E-01   0.556864E+07   0.553262E+07  -0.597032E+02  -0.597034E+02   0.109342E+07   0.554422E+07   0.556298E+07   0.554422E+07  -0.132292E+00   0.292634E+07   0.292609E+07   0.171965E+01
   0.493722E-01   0.540368E+07   0.536977E+07  -0.542053E+02  -0.542055E+02   0.102264E+07   0.537999E+07   0.539836E+07   0.537999E+07  -0.128374E+00   0.283969E+07   0.283947E+07   0.153064E+01
   0.510456E-01   0.524699E+07   0.521532E+07  -0.492456E+02  -0.492457E+02   0.956620E+06   0.522403E+07   0.524201E+07   0.522403E+07  -0.124652E+00   0.275741E+07   0.275720E+07   0.134675E+01
