#           k/h    P           
   0.180804E+00   0.324335E+03
   0.184457E+00   0.317266E+03
   0.188183E+00   0.310152E+03
   0.191985E+00   0.302553E+03
   0.195863E+00   0.294104E+03
   0.199820E+00   0.284598E+03
   0.203856E+00   0.274055E+03
   0.207974E+00   0.262728E+03
   0.212176E+00   0.251029E+03
   0.216462E+00   0.239433E+03
   0.220835E+00   0.228397E+03
   0.225296E+00   0.218307E+03
   0.229847E+00   0.209448E+03
   0.234490E+00   0.201852E+03
   0.239227E+00   0.195411E+03
   0.244060E+00   0.189790E+03
   0.248990E+00   0.184578E+03
   0.254020E+00   0.179379E+03
   0.259152E+00   0.173851E+03
   0.264387E+00   0.167832E+03
   0.269728E+00   0.161286E+03
   0.275177E+00   0.154422E+03
   0.280736E+00   0.147522E+03
   0.286407E+00   0.140923E+03
   0.292193E+00   0.134898E+03
   0.298096E+00   0.129548E+03
   0.304118E+00   0.124870E+03
   0.310261E+00   0.120666E+03
   0.316529E+00   0.116706E+03
   0.322923E+00   0.112743E+03
   0.329447E+00   0.108604E+03
   0.336102E+00   0.104279E+03
   0.342892E+00   0.998444E+02
   0.349819E+00   0.955102E+02
   0.356885E+00   0.914480E+02
   0.364095E+00   0.877365E+02
   0.371450E+00   0.843770E+02
   0.378954E+00   0.812545E+02
   0.386609E+00   0.782484E+02
   0.394419E+00   0.752437E+02
   0.402387E+00   0.721962E+02
   0.410516E+00   0.691628E+02
   0.418809E+00   0.662192E+02
   0.427269E+00   0.634538E+02
   0.435901E+00   0.608922E+02
   0.444706E+00   0.584850E+02
   0.453690E+00   0.561759E+02
   0.462855E+00   0.539066E+02
   0.472206E+00   0.516659E+02
   0.481745E+00   0.494875E+02
   0.491477E+00   0.474018E+02
   0.501405E+00   0.454317E+02
   0.511534E+00   0.435674E+02
   0.521868E+00   0.417745E+02
   0.532411E+00   0.400352E+02
   0.543166E+00   0.383458E+02
   0.554139E+00   0.367160E+02
   0.565333E+00   0.351624E+02
   0.576753E+00   0.336822E+02
   0.588404E+00   0.322625E+02
   0.600291E+00   0.308950E+02
   0.612418E+00   0.295758E+02
   0.624789E+00   0.283075E+02
   0.637411E+00   0.270949E+02
   0.650288E+00   0.259351E+02
   0.663424E+00   0.248224E+02
   0.676826E+00   0.237540E+02
   0.690499E+00   0.227286E+02
   0.704448E+00   0.217446E+02
   0.718679E+00   0.208005E+02
   0.733197E+00   0.198951E+02
   0.748009E+00   0.190270E+02
   0.763119E+00   0.181947E+02
   0.778536E+00   0.173971E+02
   0.794263E+00   0.166328E+02
   0.810308E+00   0.159007E+02
   0.826677E+00   0.151994E+02
   0.843378E+00   0.145279E+02
   0.860415E+00   0.138848E+02
   0.877797E+00   0.132691E+02
   0.895529E+00   0.126795E+02
   0.913620E+00   0.121152E+02
   0.932076E+00   0.115749E+02
   0.950906E+00   0.110577E+02
   0.970115E+00   0.105628E+02
   0.989713E+00   0.100891E+02
   0.100971E+01   0.963575E+01
   0.103010E+01   0.920198E+01
   0.105091E+01   0.878696E+01
   0.107214E+01   0.838992E+01
   0.109380E+01   0.801013E+01
   0.111590E+01   0.764689E+01
   0.113844E+01   0.729950E+01
   0.116144E+01   0.696732E+01
   0.118490E+01   0.664971E+01
   0.120884E+01   0.634606E+01
   0.123326E+01   0.605580E+01
   0.125817E+01   0.577837E+01
   0.128359E+01   0.551322E+01
   0.130952E+01   0.525983E+01
   0.133597E+01   0.501771E+01
   0.136296E+01   0.478638E+01
   0.139049E+01   0.456537E+01
   0.141858E+01   0.435424E+01
   0.144724E+01   0.415257E+01
   0.147648E+01   0.395995E+01
   0.150630E+01   0.377600E+01
   0.153673E+01   0.360033E+01
   0.156778E+01   0.343259E+01
   0.159945E+01   0.327243E+01
   0.163176E+01   0.311953E+01
   0.166472E+01   0.297356E+01
   0.169835E+01   0.283423E+01
   0.173266E+01   0.270125E+01
   0.176766E+01   0.257433E+01
   0.180337E+01   0.245321E+01
   0.183980E+01   0.233763E+01
   0.187697E+01   0.222735E+01
   0.191489E+01   0.212214E+01
   0.195357E+01   0.202176E+01
   0.199304E+01   0.192601E+01
   0.203330E+01   0.183468E+01
   0.207437E+01   0.174757E+01
   0.211628E+01   0.166449E+01
   0.215903E+01   0.158527E+01
   0.220265E+01   0.150972E+01
   0.224714E+01   0.143768E+01
   0.229254E+01   0.136900E+01
   0.233885E+01   0.130352E+01
   0.238610E+01   0.124111E+01
   0.243430E+01   0.118161E+01
   0.248348E+01   0.112489E+01
   0.253365E+01   0.107084E+01
   0.258483E+01   0.101933E+01
   0.263705E+01   0.970237E+00
   0.269032E+01   0.923459E+00
   0.274466E+01   0.878887E+00
   0.280011E+01   0.836421E+00
   0.285668E+01   0.795962E+00
   0.291439E+01   0.757420E+00
   0.297326E+01   0.720705E+00
   0.303332E+01   0.685733E+00
   0.309460E+01   0.652423E+00
   0.315712E+01   0.620699E+00
   0.322090E+01   0.590487E+00
   0.328596E+01   0.561716E+00
   0.335234E+01   0.534320E+00
   0.342006E+01   0.508234E+00
   0.348916E+01   0.483398E+00
   0.355964E+01   0.459752E+00
   0.363155E+01   0.437241E+00
   0.370491E+01   0.415812E+00
   0.377976E+01   0.395413E+00
   0.385611E+01   0.375997E+00
   0.393401E+01   0.357518E+00
   0.401348E+01   0.339930E+00
   0.409456E+01   0.323192E+00
   0.417727E+01   0.307264E+00
   0.426166E+01   0.292108E+00
   0.434775E+01   0.277686E+00
   0.443558E+01   0.263964E+00
   0.452519E+01   0.250909E+00
   0.461660E+01   0.238489E+00
   0.470987E+01   0.226673E+00
   0.480501E+01   0.215434E+00
   0.490208E+01   0.204742E+00
   0.500111E+01   0.194573E+00
   0.510214E+01   0.184901E+00
   0.520521E+01   0.175702E+00
   0.531036E+01   0.166953E+00
