#           k/h    P           
   0.142226E+00   0.350459E+04
   0.145099E+00   0.336395E+04
   0.148030E+00   0.322082E+04
   0.151020E+00   0.307834E+04
   0.154071E+00   0.293976E+04
   0.157184E+00   0.280839E+04
   0.160359E+00   0.268736E+04
   0.163598E+00   0.257920E+04
   0.166903E+00   0.248528E+04
   0.170275E+00   0.240541E+04
   0.173715E+00   0.233796E+04
   0.177224E+00   0.228009E+04
   0.180804E+00   0.222855E+04
   0.184457E+00   0.217996E+04
   0.188183E+00   0.213107E+04
   0.191985E+00   0.207884E+04
   0.195863E+00   0.202078E+04
   0.199820E+00   0.195544E+04
   0.203856E+00   0.188299E+04
   0.207974E+00   0.180516E+04
   0.212176E+00   0.172476E+04
   0.216462E+00   0.164508E+04
   0.220835E+00   0.156925E+04
   0.225296E+00   0.149991E+04
   0.229847E+00   0.143904E+04
   0.234490E+00   0.138684E+04
   0.239227E+00   0.134258E+04
   0.244060E+00   0.130396E+04
   0.248990E+00   0.126814E+04
   0.254020E+00   0.123241E+04
   0.259152E+00   0.119443E+04
   0.264387E+00   0.115307E+04
   0.269728E+00   0.110809E+04
   0.275177E+00   0.106093E+04
   0.280736E+00   0.101352E+04
   0.286407E+00   0.968177E+03
   0.292193E+00   0.926785E+03
   0.298096E+00   0.890028E+03
   0.304118E+00   0.857884E+03
   0.310261E+00   0.828997E+03
   0.316529E+00   0.801785E+03
   0.322923E+00   0.774561E+03
   0.329447E+00   0.746121E+03
   0.336102E+00   0.716405E+03
   0.342892E+00   0.685938E+03
   0.349819E+00   0.656160E+03
   0.356885E+00   0.628251E+03
   0.364095E+00   0.602751E+03
   0.371450E+00   0.579670E+03
   0.378954E+00   0.558217E+03
   0.386609E+00   0.537564E+03
   0.394419E+00   0.516920E+03
   0.402387E+00   0.495983E+03
   0.410516E+00   0.475143E+03
   0.418809E+00   0.454919E+03
   0.427269E+00   0.435921E+03
   0.435901E+00   0.418321E+03
   0.444706E+00   0.401784E+03
   0.453690E+00   0.385920E+03
   0.462855E+00   0.370330E+03
   0.472206E+00   0.354935E+03
   0.481745E+00   0.339970E+03
   0.491477E+00   0.325641E+03
   0.501405E+00   0.312106E+03
   0.511534E+00   0.299298E+03
   0.521868E+00   0.286981E+03
   0.532411E+00   0.275033E+03
   0.543166E+00   0.263426E+03
   0.554139E+00   0.252229E+03
   0.565333E+00   0.241556E+03
   0.576753E+00   0.231388E+03
   0.588404E+00   0.221634E+03
   0.600291E+00   0.212240E+03
   0.612418E+00   0.203177E+03
   0.624789E+00   0.194464E+03
   0.637411E+00   0.186134E+03
   0.650288E+00   0.178166E+03
   0.663424E+00   0.170521E+03
   0.676826E+00   0.163182E+03
   0.690499E+00   0.156137E+03
   0.704448E+00   0.149377E+03
   0.718679E+00   0.142892E+03
   0.733197E+00   0.136672E+03
   0.748009E+00   0.130708E+03
   0.763119E+00   0.124991E+03
   0.778536E+00   0.119512E+03
   0.794263E+00   0.114261E+03
   0.810308E+00   0.109232E+03
   0.826677E+00   0.104414E+03
   0.843378E+00   0.998008E+02
   0.860415E+00   0.953831E+02
   0.877797E+00   0.911532E+02
   0.895529E+00   0.871033E+02
   0.913620E+00   0.832262E+02
   0.932076E+00   0.795147E+02
   0.950906E+00   0.759620E+02
   0.970115E+00   0.725618E+02
   0.989713E+00   0.693076E+02
   0.100971E+01   0.661935E+02
   0.103010E+01   0.632136E+02
   0.105091E+01   0.603626E+02
   0.107214E+01   0.576351E+02
   0.109380E+01   0.550261E+02
   0.111590E+01   0.525307E+02
   0.113844E+01   0.501443E+02
   0.116144E+01   0.478623E+02
   0.118490E+01   0.456805E+02
   0.120884E+01   0.435946E+02
   0.123326E+01   0.416006E+02
   0.125817E+01   0.396947E+02
   0.128359E+01   0.378733E+02
   0.130952E+01   0.361326E+02
   0.133597E+01   0.344694E+02
   0.136296E+01   0.328802E+02
   0.139049E+01   0.313619E+02
   0.141858E+01   0.299116E+02
   0.144724E+01   0.285262E+02
   0.147648E+01   0.272030E+02
   0.150630E+01   0.259393E+02
   0.153673E+01   0.247325E+02
   0.156778E+01   0.235802E+02
   0.159945E+01   0.224800E+02
   0.163176E+01   0.214297E+02
   0.166472E+01   0.204269E+02
   0.169835E+01   0.194698E+02
   0.173266E+01   0.185563E+02
   0.176766E+01   0.176844E+02
   0.180337E+01   0.168523E+02
   0.183980E+01   0.160584E+02
   0.187697E+01   0.153008E+02
   0.191489E+01   0.145780E+02
   0.195357E+01   0.138885E+02
   0.199304E+01   0.132308E+02
   0.203330E+01   0.126034E+02
   0.207437E+01   0.120049E+02
   0.211628E+01   0.114342E+02
   0.215903E+01   0.108900E+02
   0.220265E+01   0.103710E+02
   0.224714E+01   0.987617E+01
   0.229254E+01   0.940436E+01
   0.233885E+01   0.895457E+01
   0.238610E+01   0.852578E+01
   0.243430E+01   0.811705E+01
   0.248348E+01   0.772746E+01
   0.253365E+01   0.735614E+01
   0.258483E+01   0.700227E+01
   0.263705E+01   0.666505E+01
   0.269032E+01   0.634370E+01
   0.274466E+01   0.603752E+01
   0.280011E+01   0.574579E+01
   0.285668E+01   0.546786E+01
   0.291439E+01   0.520309E+01
   0.297326E+01   0.495088E+01
   0.303332E+01   0.471064E+01
   0.309460E+01   0.448182E+01
   0.315712E+01   0.426389E+01
   0.322090E+01   0.405635E+01
   0.328596E+01   0.385871E+01
   0.335234E+01   0.367051E+01
   0.342006E+01   0.349131E+01
   0.348916E+01   0.332070E+01
   0.355964E+01   0.315826E+01
   0.363155E+01   0.300362E+01
   0.370491E+01   0.285641E+01
   0.377976E+01   0.271629E+01
   0.385611E+01   0.258291E+01
   0.393401E+01   0.245597E+01
   0.401348E+01   0.233515E+01
   0.409456E+01   0.222017E+01
   0.417727E+01   0.211075E+01
   0.426166E+01   0.200663E+01
   0.434775E+01   0.190756E+01
   0.443558E+01   0.181330E+01
   0.452519E+01   0.172362E+01
   0.461660E+01   0.163830E+01
   0.470987E+01   0.155713E+01
   0.480501E+01   0.147992E+01
   0.490208E+01   0.140647E+01
   0.500111E+01   0.133662E+01
   0.510214E+01   0.127017E+01
   0.520521E+01   0.120698E+01
   0.531036E+01   0.114688E+01
   0.541763E+01   0.108973E+01
   0.552708E+01   0.103538E+01
   0.563873E+01   0.983706E+00
   0.575264E+01   0.934569E+00
   0.586885E+01   0.887850E+00
   0.598741E+01   0.843433E+00
   0.610836E+01   0.801205E+00
   0.623176E+01   0.761060E+00
   0.635765E+01   0.722898E+00
   0.648609E+01   0.686623E+00
   0.661711E+01   0.652143E+00
   0.675079E+01   0.619369E+00
   0.688716E+01   0.588220E+00
   0.702629E+01   0.558617E+00
   0.716823E+01   0.530483E+00
   0.731304E+01   0.503746E+00
   0.746077E+01   0.478340E+00
   0.761149E+01   0.454198E+00
   0.776525E+01   0.431258E+00
   0.792212E+01   0.409462E+00
