#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.125877E-01   0.548234E+07   0.546832E+07   0.753380E+04   0.753375E+04   0.230527E+07   0.546681E+07   0.548014E+07   0.546681E+07  -0.430473E+00   0.529598E+07   0.529558E+07   0.110602E+02
   0.130144E-01   0.541601E+07   0.540119E+07   0.696187E+04   0.696182E+04   0.222132E+07   0.540028E+07   0.541368E+07   0.540028E+07  -0.425235E+00   0.523163E+07   0.523121E+07   0.112699E+02
   0.134555E-01   0.534816E+07   0.533250E+07   0.643056E+04   0.643051E+04   0.213859E+07   0.533223E+07   0.534570E+07   0.533224E+07  -0.419877E+00   0.516581E+07   0.516537E+07   0.114773E+02
   0.139116E-01   0.527878E+07   0.526225E+07   0.593711E+04   0.593706E+04   0.205708E+07   0.526267E+07   0.527619E+07   0.526267E+07  -0.414399E+00   0.509851E+07   0.509805E+07   0.116816E+02
   0.143831E-01   0.520787E+07   0.519041E+07   0.547894E+04   0.547890E+04   0.197668E+07   0.519157E+07   0.520512E+07   0.519157E+07  -0.408800E+00   0.502973E+07   0.502924E+07   0.118820E+02
   0.148706E-01   0.513541E+07   0.511700E+07   0.505366E+04   0.505362E+04   0.189729E+07   0.511893E+07   0.513251E+07   0.511893E+07  -0.403080E+00   0.495945E+07   0.495894E+07   0.120776E+02
   0.153746E-01   0.506140E+07   0.504200E+07   0.465902E+04   0.465899E+04   0.181895E+07   0.504475E+07   0.505835E+07   0.504475E+07  -0.397238E+00   0.488767E+07   0.488714E+07   0.122674E+02
   0.158958E-01   0.498584E+07   0.496541E+07   0.429294E+04   0.429291E+04   0.174187E+07   0.496902E+07   0.498263E+07   0.496902E+07  -0.391276E+00   0.481440E+07   0.481384E+07   0.124504E+02
   0.164346E-01   0.490874E+07   0.488725E+07   0.395347E+04   0.395344E+04   0.166636E+07   0.489176E+07   0.490536E+07   0.489176E+07  -0.385191E+00   0.473964E+07   0.473904E+07   0.126254E+02
   0.169916E-01   0.483009E+07   0.480750E+07   0.363877E+04   0.363875E+04   0.159261E+07   0.481296E+07   0.482654E+07   0.481297E+07  -0.378987E+00   0.466338E+07   0.466276E+07   0.127912E+02
   0.175675E-01   0.474993E+07   0.472620E+07   0.334716E+04   0.334713E+04   0.152062E+07   0.473266E+07   0.474620E+07   0.473266E+07  -0.372663E+00   0.458566E+07   0.458501E+07   0.129465E+02
   0.181630E-01   0.466826E+07   0.464337E+07   0.307704E+04   0.307701E+04   0.145021E+07   0.465085E+07   0.466434E+07   0.465085E+07  -0.366221E+00   0.450648E+07   0.450580E+07   0.130898E+02
   0.187786E-01   0.458510E+07   0.455902E+07   0.282693E+04   0.282691E+04   0.138134E+07   0.456757E+07   0.458100E+07   0.456757E+07  -0.359664E+00   0.442587E+07   0.442516E+07   0.132198E+02
   0.194151E-01   0.450050E+07   0.447320E+07   0.259545E+04   0.259543E+04   0.131408E+07   0.448285E+07   0.449622E+07   0.448286E+07  -0.352993E+00   0.434387E+07   0.434313E+07   0.133347E+02
   0.200732E-01   0.441450E+07   0.438596E+07   0.238132E+04   0.238130E+04   0.124858E+07   0.439674E+07   0.441001E+07   0.439674E+07  -0.346212E+00   0.426051E+07   0.425974E+07   0.134330E+02
   0.207536E-01   0.432714E+07   0.429734E+07   0.218334E+04   0.218332E+04   0.118495E+07   0.430928E+07   0.432246E+07   0.430928E+07  -0.339325E+00   0.417584E+07   0.417504E+07   0.135129E+02
   0.214570E-01   0.423848E+07   0.420742E+07   0.200039E+04   0.200037E+04   0.112323E+07   0.422054E+07   0.423360E+07   0.422054E+07  -0.332337E+00   0.408992E+07   0.408909E+07   0.135727E+02
   0.221843E-01   0.414860E+07   0.411627E+07   0.183142E+04   0.183140E+04   0.106341E+07   0.413059E+07   0.414352E+07   0.413059E+07  -0.325254E+00   0.400283E+07   0.400197E+07   0.136105E+02
   0.229363E-01   0.405758E+07   0.402399E+07   0.167546E+04   0.167545E+04   0.100540E+07   0.403951E+07   0.405231E+07   0.403951E+07  -0.318083E+00   0.391464E+07   0.391375E+07   0.136244E+02
   0.237137E-01   0.396553E+07   0.393068E+07   0.153160E+04   0.153159E+04   0.949244E+06   0.394741E+07   0.396005E+07   0.394741E+07  -0.310830E+00   0.382546E+07   0.382454E+07   0.136126E+02
   0.245175E-01   0.387254E+07   0.383647E+07   0.139901E+04   0.139900E+04   0.895099E+06   0.385440E+07   0.386687E+07   0.385440E+07  -0.303506E+00   0.373539E+07   0.373444E+07   0.135730E+02
   0.253485E-01   0.377876E+07   0.374149E+07   0.127688E+04   0.127687E+04   0.843042E+06   0.376060E+07   0.377290E+07   0.376060E+07  -0.296120E+00   0.364456E+07   0.364358E+07   0.135038E+02
   0.262077E-01   0.368433E+07   0.364590E+07   0.116449E+04   0.116449E+04   0.792959E+06   0.366617E+07   0.367829E+07   0.366617E+07  -0.288685E+00   0.355311E+07   0.355210E+07   0.134032E+02
   0.270960E-01   0.358940E+07   0.354988E+07   0.106115E+04   0.106114E+04   0.744800E+06   0.357127E+07   0.358319E+07   0.357127E+07  -0.281212E+00   0.346120E+07   0.346017E+07   0.132695E+02
   0.280144E-01   0.349417E+07   0.345362E+07   0.966220E+03   0.966213E+03   0.698645E+06   0.347609E+07   0.348780E+07   0.347609E+07  -0.273717E+00   0.336900E+07   0.336796E+07   0.131010E+02
   0.289640E-01   0.339883E+07   0.335734E+07   0.879099E+03   0.879092E+03   0.654544E+06   0.338082E+07   0.339231E+07   0.338082E+07  -0.266215E+00   0.327672E+07   0.327566E+07   0.128962E+02
   0.299457E-01   0.330361E+07   0.326127E+07   0.799232E+03   0.799226E+03   0.612481E+06   0.328568E+07   0.329695E+07   0.328568E+07  -0.258724E+00   0.318457E+07   0.318349E+07   0.126540E+02
   0.309607E-01   0.320873E+07   0.316567E+07   0.726097E+03   0.726092E+03   0.572377E+06   0.319092E+07   0.320196E+07   0.319092E+07  -0.251262E+00   0.309278E+07   0.309168E+07   0.123733E+02
   0.320102E-01   0.311445E+07   0.307081E+07   0.659208E+03   0.659203E+03   0.534240E+06   0.309679E+07   0.310760E+07   0.309679E+07  -0.243850E+00   0.300159E+07   0.300049E+07   0.120536E+02
   0.330951E-01   0.302105E+07   0.297697E+07   0.598107E+03   0.598103E+03   0.498149E+06   0.300356E+07   0.301413E+07   0.300356E+07  -0.236509E+00   0.291127E+07   0.291017E+07   0.116946E+02
   0.342169E-01   0.292881E+07   0.288445E+07   0.542369E+03   0.542366E+03   0.464004E+06   0.291152E+07   0.292184E+07   0.291152E+07  -0.229261E+00   0.282210E+07   0.282100E+07   0.112966E+02
   0.353767E-01   0.283802E+07   0.279357E+07   0.491593E+03   0.491589E+03   0.431746E+06   0.282096E+07   0.283103E+07   0.282096E+07  -0.222130E+00   0.273436E+07   0.273327E+07   0.108603E+02
   0.365758E-01   0.274897E+07   0.270464E+07   0.445401E+03   0.445398E+03   0.401399E+06   0.273218E+07   0.274200E+07   0.273218E+07  -0.215139E+00   0.264834E+07   0.264726E+07   0.103870E+02
   0.378155E-01   0.266162E+07   0.261761E+07   0.403388E+03   0.403385E+03   0.372871E+06   0.264512E+07   0.265470E+07   0.264512E+07  -0.208284E+00   0.256399E+07   0.256293E+07   0.987919E+01
